group_type;group_name;brand;model;economic_priority;landing_type;suggested_path;final_url;status
MODEL;MODEL | Geely | Galaxy Starship 7;Geely;Galaxy Starship 7;P2_high_demand_medium_value;model_filter;/catalog/geely/galaxy-starship-7/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Monjaro;Geely;Monjaro;P2_high_demand_medium_value;model_filter;/catalog/geely/monjaro/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Okavango;Geely;Okavango;P2_high_demand_medium_value;model_filter;/catalog/geely/okavango/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Preface;Geely;Preface;P2_high_demand_medium_value;model_filter;/catalog/geely/preface/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Geely | Vision X6 Pro;Geely;Vision X6 Pro;P2_high_demand_medium_value;model_filter;/catalog/geely/vision-x6-pro/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Great Wall | Poer;Great Wall;Poer;P2_high_demand_medium_value;model_filter;/catalog/great-wall/poer/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Great Wall | Poer King Kong;Great Wall;Poer King Kong;P3_long_tail_medium_value;model_filter;/catalog/great-wall/poer-king-kong/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Haval | F7;Haval;F7;P1_high_demand_high_value;model_filter;/catalog/haval/f7/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Haval | F7x;Haval;F7x;P2_high_demand_medium_value;model_filter;/catalog/haval/f7x/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Haval | H3;Haval;H3;P1_high_demand_high_value;model_filter;/catalog/haval/h3/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Haval | Jolion;Haval;Jolion;P2_high_demand_medium_value;model_filter;/catalog/haval/jolion/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Haval | Xiaolong Max;Haval;Xiaolong Max;P3_long_tail_medium_value;model_filter;/catalog/haval/xiaolong-max/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | HiPhi | Z;HiPhi;Z;P1_high_demand_high_value;model_filter;/catalog/hiphi/z/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Honda | Crider;Honda;Crider;P1_high_demand_high_value;model_filter;/catalog/honda/crider/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Hongqi | HS5;Hongqi;HS5;P4_low_value_controlled;model_filter;/catalog/hongqi/hs5/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Hyundai | Santa Fe;Hyundai;Santa Fe;P2_long_tail_high_value;model_filter;/catalog/hyundai/santa-fe/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Jetour | T2;Jetour;T2;P1_high_demand_high_value;model_filter;/catalog/jetour/t2/;;WAITING_FOR_SITE_ROUTES
MODEL;MODEL | Lexus | RX;Lexus;RX;P3_long_tail_medium_value;model_filter;/catalog/lexus/rx/;;WAITING_FOR_SITE_ROUTES
